# 0.886416
Q1002223	2	1	Jones	_name_	NNP	PERSON	nsubj	O	O/0.999852	O/0.999852	YES/0.000148
Q1002223	2	1	gives	give	VBZ	O	root	O	O/0.999923	O/0.999923	YES/0.000077
Q1002223	2	2	the	the	DT	O	det	O	O/0.999890	O/0.999890	YES/0.000110
Q1002223	2	3	pronunciation	pronunciation	NN	O	dobj	O	O/0.999193	O/0.999193	YES/0.000807
Q1002223	2	4	``	``	``	O	punct	O	O/0.999918	O/0.999918	YES/0.000082
Q1002223	2	5	KREST	KREST	NNP	O	compound	O	O/0.999912	O/0.999912	YES/0.000088
Q1002223	2	6	--	--	:	O	punct	O	O/0.999857	O/0.999857	YES/0.000143
Q1002223	2	7	OH	oh	NN	O	dep	O	O/0.999900	O/0.999900	YES/0.000100
Q1002223	2	8	--	--	:	O	punct	O	O/0.999960	O/0.999960	YES/0.000040
Q1002223	2	9	MAN	man	NN	O	dep	O	O/0.999964	O/0.999964	YES/0.000036
Q1002223	2	10	--	--	:	O	punct	O	O/0.999972	O/0.999972	YES/0.000028
Q1002223	2	11	SEE	see	VBP	O	dep	O	O/0.999957	O/0.999957	YES/0.000043
Q1002223	2	12	''	''	''	O	punct	O	O/0.999976	O/0.999976	YES/0.000024
Q1002223	2	13	herself	herself	PRP	O	nsubj	O	O/0.999963	O/0.999963	YES/0.000037
Q1002223	2	14	and	and	CC	O	cc	O	O/0.999881	O/0.999881	YES/0.000119
Q1002223	2	15	one	_num_	CD	NUMBER	conj:and_herself	O	O/0.889734	O/0.889734	YES/0.110266
Q1002223	2	16	of	of	IN	O	case	O	O/0.999952	O/0.999952	YES/0.000048
Q1002223	2	17	her	she	PRP$	O	nmod:poss	O	O/0.999691	O/0.999691	YES/0.000309
Q1002223	2	18	characters	character	NNS	O	nmod:of	O	O/0.999889	O/0.999889	YES/0.000111
Q1002223	2	19	writes	write	VBZ	O	advcl	O	O/0.999943	O/0.999943	YES/0.000057
Q1002223	2	20	the	the	DT	O	det	O	O/0.999927	O/0.999927	YES/0.000073
Q1002223	2	21	same	same	JJ	O	amod	O	O/0.999511	O/0.999511	YES/0.000489
Q1002223	2	22	instruction	instruction	NN	O	dobj	O	O/0.999952	O/0.999952	YES/0.000048
Q1002223	2	23	for	for	IN	O	mark	O	O/0.999916	O/0.999916	YES/0.000084
Q1002223	2	24	using	use	VBG	O	advcl:for	O	O/0.999921	O/0.999921	YES/0.000079
Q1002223	2	25	the	the	DT	O	det	O	O/0.999806	O/0.999806	YES/0.000194
Q1002223	2	26	word	word	NN	O	dobj	O	O/0.999875	O/0.999875	YES/0.000125
Q1002223	2	27	as	as	IN	O	case	O	O/0.999894	O/0.999894	YES/0.000106
Q1002223	2	28	a	a	DT	O	det	O	O/0.999919	O/0.999919	YES/0.000081
Q1002223	2	29	spell	spell	NN	O	nmod:as	O	O/0.999872	O/0.999872	YES/0.000128
Q1002223	2	30	.	.	.	O	punct	O	O/0.999903	O/0.999903	YES/0.000097

# 0.897266
Q1002223	3	0	Some	some	DT	O	det	O	O/0.999729	O/0.999729	YES/0.000271
Q1002223	3	1	people	people	NNS	O	nsubj	O	O/0.999934	O/0.999934	YES/0.000066
Q1002223	3	2	can	can	MD	O	aux	O	O/0.999940	O/0.999940	YES/0.000060
Q1002223	3	3	move	move	VB	O	root	O	O/0.999949	O/0.999949	YES/0.000051
Q1002223	3	4	between	between	IN	O	case	O	O/0.999963	O/0.999963	YES/0.000037
Q1002223	3	5	worlds	world	NNS	O	nmod:between	O	O/0.999975	O/0.999975	YES/0.000025
Q1002223	3	6	,	,	,	O	punct	O	O/0.999969	O/0.999969	YES/0.000031
