Q882,11,5142,Charlie_Chaplin
Q45909,1,170666,John_Cale
Q1339,20,9906294,Johann_Sebastian_Bach
Q1744,4,142056,Madonna_(entertainer)
Q170068,3,159552,Akseli_Gallen-Kallela
Q104109,2,18823,Mary_Pickford
Q76,2,534366,Barack_Obama
Q7317,2,12958,Giuseppe_Verdi
Q34424,2,6479315,Shakira
Q892,4,15872,J._R._R._Tolkien
Q1124,1,3356,Bill_Clinton
Q104081,9,87624,Mickey_Rooney
Q180338,1,53494,Christopher_Lee
Q36949,6,20913302,Robert_De_Niro
Q5105,3,203407,Celine_Dion
Q5608,1,4429395,Eminem
Q207,2,3414021,George_W._Bush
Q6096,3,88923,Snoop_Dogg
Q62766,1,162870,Jay_Z
Q41076,2,19499,Mariah_Carey
Q8877,6,26940,Steven_Spielberg
Q191748,5,79884,Lucas_Cranach_the_Elder
Q36153,1,83688,Beyoncé
Q6060,2,192481,50_Cent
Q15935,2,523032,Kanye_West
Q40715,2,16175,Jennifer_Lopez
Q23,0,11968,George_Washington
Q310867,3,889645,Sanjay_Dutt
Q373046,1,3744382,Krisztián_Sárneczky
Q55796,4,167975,Peter_Ustinov
Q9696,4,5119376,John_F._Kennedy
Q23505,6,11955,George_H._W._Bush
Q295093,5,925369,Claude_Lelouch
Q79025,5,27884,Walter_Scott
Q13909,6,5792809,Angelina_Jolie
Q91,1,307,Abraham_Lincoln
Q42455,2,18933360,Björk
Q104061,1,180487,Steve_Buscemi
Q91,4,307,Abraham_Lincoln
Q298025,2,158079,Joss_Whedon
Q106365,3,145320,Isabelle_Huppert
Q9535,3,352699,Shah_Rukh_Khan
Q11975,2,3382,Britney_Spears
Q128121,8,57187,Mick_Jagger
Q11812,6,29922,Thomas_Jefferson
Q8007,6,10979,Franklin_D._Roosevelt
Q94081,4,161292,Bob_Hope
Q2071,4,7891,David_Lynch
Q9916,2,8182,Dwight_D._Eisenhower
Q33866,6,30535,Theodore_Roosevelt
Q132952,2,102690,Adam_Sandler
Q233748,2,595801,Akshay_Kumar
Q42869,2,21111,Nicolas_Cage
Q16390,2,14045,Humphrey_Bogart
Q12382,2,79982,Shigeru_Miyamoto
Q273055,3,55523,R._Kelly
Q2685,5,1806,Arnold_Schwarzenegger
Q223992,2,153147,Wes_Craven
Q41594,2,144171,Christina_Aguilera
Q9588,2,25473,Richard_Nixon
Q34851,4,42357,Elizabeth_Taylor
Q37175,2,71870,Johnny_Depp
Q36105,7,208200,Charles_Bronson
Q47100,2,90095,Ben_Stiller
Q1401,9,23734,Petrarch
Q23685,4,15992,Jimmy_Carter
Q45682,6,49644,Jean_Sibelius
Q2492,8,16634,Konrad_Adenauer
Q179497,3,21486951,Oliver_Stone
Q78454,16,74344,William_the_Silent
Q6294,1,5043192,Hillary_Clinton
Q78454,13,74344,William_the_Silent
Q266670,1,248548,Megumi_Hayashibara
Q215072,1,268009,John_Goodman
Q4496,5,426208,Mitt_Romney
Q437254,2,1078404,Josiane_Balasko
Q166646,6,46391,Ramsay_MacDonald
Q53011,2,212068,Dario_Argento
Q208681,8,168094,Kris_Kristofferson
Q35332,6,44849,Brad_Pitt
Q214227,6,1532027,T.I.
Q37459,4,21504,Nicole_Kidman
Q294583,3,171022,Sam_Shepard
Q131814,2,82061,Tina_Turner
Q9640,2,54533,Lyndon_B._Johnson
Q42229,9,44219,Mel_Gibson
Q483118,3,159599,Ben_Affleck
Q104067,3,10482,Eli_Wallach
Q3521977,3,5322492,Nassar
Q80938,3,54174,John_Travolta
Q125121,4,147367,Aretha_Franklin
Q58444,2,64182,Liam_Neeson
Q133151,5,85406,Ozzy_Osbourne
Q503717,4,1041338,Herman_van_Veen
Q11930,7,144152,Kevin_Costner
Q36268,1,3845,Brigitte_Bardot
Q56008,2,31501,Tim_Burton
Q324539,1,543969,Sam_Sheppard
Q1894411,8,25664966,Marcus_Wallenberg_(born_1956)
Q3288389,1,3055932,Tracie_Savage
Q1301476,3,1318924,Sunil_Mittal
Q454245,2,12438594,Alan_Kelly_(politician)
Q13575319,6,25069694,William_Jasper_Kerr
Q7072169,2,33115311,O._S._Manian
Q4709994,2,32411603,Albert_D._Bosson
Q2442673,5,1387368,Tony_Killeen
Q6779107,11,16486507,Mary_Bradbury
Q5524863,5,2190442,Gary_Cohen
Q12958427,2,44091709,Mihael_Zmajlović
Q4719471,5,2553780,Alexander_MacEwen
Q7383878,4,5384883,Ryan_Bennett_(sportscaster)
Q5446263,2,31970362,Fiach_Mac_Conghail
Q4755023,3,1206694,Andrea_Coote
Q15052269,3,40117306,Benjamin_B._Wagner
Q5085069,3,25574817,Charlie_Jacobs
Q3115393,1,20287561,Grant_Haskin
Q121033,2,3659271,Urs_Schwarzenbach
Q43994,3,18894,Matt_Groening
Q95002,3,147352,William_Holden
Q81520,5,180738,Pierce_Brosnan
