Q254,2,33163,Wolfgang_Amadeus_Mozart,0
Q1339,20,9906294,Johann_Sebastian_Bach,1
Q5879,1,19242322,Johann_Wolfgang_von_Goethe,2
Q35064,1,984,Agatha_Christie,3
Q91,4,307,Abraham_Lincoln,4
Q692,3,32897,William_Shakespeare,5
Q937,3,736,Albert_Einstein,6
Q7243,6,18622119,Leo_Tolstoy,7
Q8016,5,33265,Winston_Churchill,8
Q1511,3,25452,Richard_Wagner,9
Q5686,10,5884,Charles_Dickens,10
Q22670,2,63742,Friedrich_Schiller,11
Q1067,3,8169,Dante_Alighieri,12
Q7833,2,82413,Boris_Vian,13
Q5598,2,4254144,Rembrandt,14
Q535,4,42146,Victor_Hugo,15
Q41309,3,67379,Franz_Liszt,16
Q37030,6,30085,Thomas_Mann,17
Q1035,8,8145410,Charles_Darwin,18
Q34424,1,6479315,Shakira,19
Q23,2,11968,George_Washington,20
Q154770,5,67025,Arnold_Schoenberg,21
Q7486,69,613559,Emperor_Huizong_of_Song,22
Q7314,1,38172,Igor_Stravinsky,23
Q45909,1,170666,John_Cale,24
Q76,2,534366,Barack_Obama,25
Q192069,1,10258,Enid_Blyton,26
Q30875,2,22614,Oscar_Wilde,27
Q517,5,69880,Napoleon,28
Q12665,2,60845,Robert_Baden-Powell%2C_1st_Baron_Baden-Powell,29
Q687,1,51465,Moli%C3%A8re,30
Q4700,1,6260,Claude_Debussy,31
Q9554,6,7567080,Martin_Luther,32
Q7245,3,154450,Mark_Twain,33
Q9215,2,26743,Sigmund_Freud,34
Q1744,4,142056,Madonna_%28entertainer%29,35
Q9916,2,8182,Dwight_D._Eisenhower,36
Q38757,3,24956001,Bertolt_Brecht,37
Q34969,3,3986,Benjamin_Franklin,38
Q81447,1,628,Aldous_Huxley,39
Q7200,3,52790,Alexander_Pushkin,40
Q9701,35,207992,Emperor_Taizong_of_Tang,41
Q9696,3,5119376,John_F._Kennedy,42
Q36661,2,14236,Henrik_Ibsen,43
Q13909,3,5792809,Angelina_Jolie,44
Q33977,1,15770,Jules_Verne,45
Q46096,2,76370,Felix_Mendelssohn,46
Q11812,4,29922,Thomas_Jefferson,47
Q2492,1,16634,Konrad_Adenauer,48
Q2567,4,338909,Richard_von_Weizs%C3%A4cker,49
Q5682,1,19444,Miguel_de_Cervantes,50
Q9021,1,19848,Max_Planck,51
Q1043,2,5233,Carl_Linnaeus,52
Q9204,1,5813,C._S._Lewis,53
Q742,1,52201,Jean_Racine,54
Q1276,1,19965375,Leonard_Cohen,55
Q882,8,5142,Charlie_Chaplin,56
Q5383,1,8786,David_Bowie,57
Q45682,2,49644,Jean_Sibelius,58
Q1001,4,19379,Mahatma_Gandhi,59
Q2042,3,51255,Charles_de_Gaulle,60
Q36591,1,32442,Vladimir_Nabokov,61
Q2514,3,49260,Willy_Brandt,62
Q22686,5,4848272,Donald_Trump,63
Q17790,44,256180,Kangxi_Emperor,64
Q33760,1,4163,Bertrand_Russell,65
Q307,2,29688374,Galileo_Galilei,66
Q892,2,15872,J._R._R._Tolkien,67
Q5679,3,17566665,Lord_Byron,68
Q9061,3,16743,Karl_Marx,69
Q9746,54,637134,Emperor_Xuanzong_of_Tang,70
Q151164,1,42691,Andr%C3%A9_Malraux,71
Q2831,3,14995351,Michael_Jackson,72
Q180962,4,189774,Norman_Mailer,73
Q991,1,11625,Fyodor_Dostoyevsky,74
Q5593,4,24176,Pablo_Picasso,75
Q1203,2,15852,John_Lennon,76
Q93343,1,20502020,Percy_Bysshe_Shelley,77
Q9235,1,12598,Georg_Wilhelm_Friedrich_Hegel,78
Q4612,1,145325,Marlene_Dietrich,79
Q35610,3,18951335,Arthur_Conan_Doyle,80
Q9960,4,25433,Ronald_Reagan,81
Q83326,2,4527,B%C3%A9la_Bart%C3%B3k,82
Q6294,1,5043192,Hillary_Clinton,83
Q7085,4,21210,Niels_Bohr,84
Q42,1,8091,Douglas_Adams,85
Q25310,11,21131695,Robert_F._Kennedy,86
Q34743,2,26308,Rudyard_Kipling,87
Q392,2,4637590,Bob_Dylan,88
Q7489,3,1159465,Emperor_Gaozong_of_Song,89
Q8023,5,21492751,Nelson_Mandela,90
Q11758,3,18100,L._L._Zamenhof,91
Q1124,1,3356,Bill_Clinton,92
Q33866,6,30535,Theodore_Roosevelt,93
Q6882,1,15600,James_Joyce,94
Q42544,4,30479,Thomas_More,95
Q2038,3,37998,Fran%C3%A7ois_Mitterrand,96
Q76428,1,58237,Carl_Philipp_Emanuel_Bach,97
Q93284,1,63135,Marc_Chagall,98
Q42775,7,11983070,Johnny_Cash,99
Q83158,1,15837,Jean_Cocteau,100
