Q254,2,33163,[3;2;1;4;5],Wolfgang_Amadeus_Mozart,0
Q1339,20,9906294,[1;6;2;3;4],Johann_Sebastian_Bach,1
Q5879,1,19242322,[1;2],Johann_Wolfgang_von_Goethe,2
Q35064,1,984,[1;2;3],Agatha_Christie,3
Q91,4,307,[1;2;3;4],Abraham_Lincoln,4
Q692,3,32897,[2;1;3],William_Shakespeare,5
Q937,3,736,[1;2;4],Albert_Einstein,6
Q7243,6,18622119,[1;2],Leo_Tolstoy,7
Q8016,5,33265,[1;2;3],Winston_Churchill,8
Q1511,3,25452,[2;3;1],Richard_Wagner,9
Q5686,10,5884,[1;2],Charles_Dickens,10
Q22670,2,63742,[2],Friedrich_Schiller,11
Q1067,3,8169,[1;3],Dante_Alighieri,12
Q7833,2,82413,[],Boris_Vian,13
Q5598,2,4254144,[1],Rembrandt,14
Q535,4,42146,[1],Victor_Hugo,15
Q41309,3,67379,[1;2;3;6],Franz_Liszt,16
Q37030,6,30085,[],Thomas_Mann,17
Q1035,8,8145410,[1;2],Charles_Darwin,18
Q34424,1,6479315,[1;2;3;5;40;8;200;100;4;6],Shakira,19
Q23,2,11968,[1;2;3;6],George_Washington,20
Q154770,5,67025,[1;13;2],Arnold_Schoenberg,21
Q7486,69,613559,[],Emperor_Huizong_of_Song,22
Q7314,1,38172,[3;2;1;4],Igor_Stravinsky,23
Q45909,1,170666,[2;1],John_Cale,24
Q76,2,534366,[1;2;4],Barack_Obama,25
Q192069,1,10258,[5;7;4;2;1;3],Enid_Blyton,26
Q30875,2,22614,[1;2;3;4],Oscar_Wilde,27
Q517,5,69880,[2;1],Napoleon,28
Q12665,2,60845,[1],Robert_Baden-Powell%2C_1st_Baron_Baden-Powell,29
Q687,1,51465,[1;2],Moli%C3%A8re,30
Q4700,1,6260,[1],Claude_Debussy,31
Q9554,6,7567080,[1;2;10;4;3;7],Martin_Luther,32
Q7245,3,154450,[1;2;3],Mark_Twain,33
Q9215,2,26743,[1;3],Sigmund_Freud,34
Q1744,4,142056,[1;2;100;3;200;5;8],Madonna_%28entertainer%29,35
Q9916,2,8182,[1;2;3;5],Dwight_D._Eisenhower,36
Q38757,3,24956001,[1],Bertolt_Brecht,37
Q34969,3,3986,[1;2;3;4;17],Benjamin_Franklin,38
Q81447,1,628,[],Aldous_Huxley,39
Q7200,3,52790,[],Alexander_Pushkin,40
Q9701,35,207992,[1;2;649;619],Emperor_Taizong_of_Tang,41
Q9696,3,5119376,[2;1;3;4],John_F._Kennedy,42
Q36661,2,14236,[1],Henrik_Ibsen,43
Q13909,3,5792809,[1;2;3],Angelina_Jolie,44
Q33977,1,15770,[2;1],Jules_Verne,45
Q46096,2,76370,[1;2;4;3;5;6],Felix_Mendelssohn,46
Q11812,4,29922,[1;3;2;5],Thomas_Jefferson,47
Q2492,1,16634,[1;2],Konrad_Adenauer,48
Q2567,4,338909,[1],Richard_von_Weizs%C3%A4cker,49
Q5682,1,19444,[1;2;8;4],Miguel_de_Cervantes,50
Q9021,1,19848,[],Max_Planck,51
Q1043,2,5233,[1;2;3],Carl_Linnaeus,52
Q9204,1,5813,[1;2],C._S._Lewis,53
Q742,1,52201,[1;2],Jean_Racine,54
Q1276,1,19965375,[1;2;3;10],Leonard_Cohen,55
Q882,8,5142,[1;2],Charlie_Chaplin,56
Q5383,1,8786,[1;3;2;5;100;4;9;10;40],David_Bowie,57
Q45682,2,49644,[1;2;3;4;7],Jean_Sibelius,58
Q1001,4,19379,[1;2;3],Mahatma_Gandhi,59
Q2042,3,51255,[1;2;3;5],Charles_de_Gaulle,60
Q36591,1,32442,[],Vladimir_Nabokov,61
Q2514,3,49260,[1;2;3],Willy_Brandt,62
Q22686,5,4848272,[2;1;3;4],Donald_Trump,63
Q17790,44,256180,[3;1;8],Kangxi_Emperor,64
Q33760,1,4163,[1],Bertrand_Russell,65
Q307,2,29688374,[1;2;3;4],Galileo_Galilei,66
Q892,2,15872,[1;2;3],J._R._R._Tolkien,67
Q5679,3,17566665,[1;2],Lord_Byron,68
Q9061,3,16743,[1;2;3],Karl_Marx,69
Q9746,54,637134,[2;1;3;716],Emperor_Xuanzong_of_Tang,70
Q151164,1,42691,[1;2],Andr%C3%A9_Malraux,71
Q2831,3,14995351,[1;2;5;100;3;10;4;7;13;25],Michael_Jackson,72
Q180962,4,189774,[1;2],Norman_Mailer,73
Q991,1,11625,[1;2],Fyodor_Dostoyevsky,74
Q5593,4,24176,[1;2],Pablo_Picasso,75
Q1203,2,15852,[1;2;100;10],John_Lennon,76
Q93343,1,20502020,[1;3;2],Percy_Bysshe_Shelley,77
Q9235,1,12598,[3;1;2],Georg_Wilhelm_Friedrich_Hegel,78
Q4612,1,145325,[1;2],Marlene_Dietrich,79
Q35610,3,18951335,[2;1],Arthur_Conan_Doyle,80
Q9960,4,25433,[1;2;4],Ronald_Reagan,81
