wikidataURL,wikipediaURL
http://www.wikidata.org/entity/Q9047,https://en.wikipedia.org/wiki/Gottfried%20Wilhelm%20Leibniz
http://www.wikidata.org/entity/Q459504,https://en.wikipedia.org/wiki/Guusje%20ter%20Horst
http://www.wikidata.org/entity/Q660629,https://en.wikipedia.org/wiki/Vernon%20A.%20Walters
http://www.wikidata.org/entity/Q676555,https://en.wikipedia.org/wiki/Francis%20of%20Assisi
http://www.wikidata.org/entity/Q8772,https://en.wikipedia.org/wiki/Joseph%20Fourier
http://www.wikidata.org/entity/Q9068,https://en.wikipedia.org/wiki/Voltaire
http://www.wikidata.org/entity/Q590,https://en.wikipedia.org/wiki/Lu%C3%ADs%20de%20Cam%C3%B5es
http://www.wikidata.org/entity/Q9312,https://en.wikipedia.org/wiki/Immanuel%20Kant
http://www.wikidata.org/entity/Q301,https://en.wikipedia.org/wiki/El%20Greco
http://www.wikidata.org/entity/Q9353,https://en.wikipedia.org/wiki/John%20Locke
http://www.wikidata.org/entity/Q1037905,https://en.wikipedia.org/wiki/Carl%20Fredrik%20Nyman
http://www.wikidata.org/entity/Q705427,https://en.wikipedia.org/wiki/Johann%20Patkul
http://www.wikidata.org/entity/Q1041127,https://en.wikipedia.org/wiki/Carl%20Wilhelm%20Samuel%20Aurivillius
http://www.wikidata.org/entity/Q1037921,https://en.wikipedia.org/wiki/Carl%20Fredrik%20Adelcrantz
http://www.wikidata.org/entity/Q706660,https://en.wikipedia.org/wiki/Rene%20Liu
http://www.wikidata.org/entity/Q502,https://en.wikipedia.org/wiki/Stendhal
http://www.wikidata.org/entity/Q307,https://en.wikipedia.org/wiki/Galileo%20Galilei
http://www.wikidata.org/entity/Q1373367,https://en.wikipedia.org/wiki/Olof%20von%20Dalin
http://www.wikidata.org/entity/Q3505591,https://en.wikipedia.org/wiki/Susan%20Lindauer
http://www.wikidata.org/entity/Q4125260,https://en.wikipedia.org/wiki/Gustaf%20Lindstr%C3%B6m
http://www.wikidata.org/entity/Q4310431,https://en.wikipedia.org/wiki/Mihaela%20R%C4%83dulescu
http://www.wikidata.org/entity/Q2843692,https://en.wikipedia.org/wiki/Nils%20Hylander
http://www.wikidata.org/entity/Q4381975,https://en.wikipedia.org/wiki/Johan%20G%C3%B6ransson%20Gyllenstierna
http://www.wikidata.org/entity/Q1773610,https://en.wikipedia.org/wiki/Hjalmar%20Lundbohm
http://www.wikidata.org/entity/Q2425582,https://en.wikipedia.org/wiki/Haleth
