Q3403561,John_Thomas_(photographer),1,NULL,1539
Q5598,Rembrandt,2,NULL,1010
Q1339,Johann_Sebastian_Bach,20,20,957
Q72792,Hal_Roach,1,NULL,783
Q22670,Friedrich_Schiller,2,NULL,710
Q5593,Pablo_Picasso,4,NULL,618
Q150747,Wilhelmina_of_the_Netherlands,1,NULL,598
Q254,Wolfgang_Amadeus_Mozart,2,NULL,575
Q318611,Nikolai_Chernykh,2,NULL,557
Q8704,Walt_Disney,1,NULL,556
Q2720141,Ilaiyaraaja,3,NULL,545
Q296,Claude_Monet,2,NULL,523
Q2735277,Prem_Nazir,1,NULL,512
Q134741,Camille_Pissarro,6,NULL,511
Q23848,Ennio_Morricone,1,NULL,482
Q57304,Prince_Bernhard_of_Lippe-Biesterfeld,6,NULL,477
Q882,Charlie_Chaplin,8,11,476
Q35064,Agatha_Christie,1,NULL,446
Q692,William_Shakespeare,3,NULL,441
Q1395425,Sivaji_Ganesan,2,NULL,422
Q39931,Pierre-Auguste_Renoir,4,NULL,418
Q5879,Johann_Wolfgang_von_Goethe,1,NULL,413
Q29574,Beatrix_of_the_Netherlands,3,NULL,411
Q392,Bob_Dylan,2,NULL,399
Q1744,Madonna_(entertainer),4,4,398
Q379604,Mithun_Chakraborty,4,NULL,397
Q45909,John_Cale,1,1,380
Q167654,Frans_Hals,6,NULL,376
Q2831,Michael_Jackson,3,NULL,373
Q9711,Honoré_de_Balzac,1,NULL,373
Q2721855,Mammootty,1,NULL,359
Q47551,Titian,3,NULL,359
Q39829,Stephen_King,3,NULL,355
Q740657,Leslie_Stephen,1,NULL,350
Q5383,David_Bowie,2,NULL,344
Q104109,Mary_Pickford,NULL,2,342
Q301,El_Greco,1,NULL,339
Q35548,Paul_Cézanne,1,NULL,337
Q2050534,Mohanlal,1,NULL,329
Q37217,Fyodor_Tyutchev,5,NULL,327
Q164294,Saint_Anne,2,NULL,325
Q1361838,Francis_Ford_(actor),1,NULL,323
Q5589,Henri_Matisse,1,NULL,317
Q1384661,Jesse_L._Lasky,2,NULL,313
Q76,Barack_Obama,2,2,303
Q1344801,Harry_Carey_(actor),1,NULL,299
Q379157,Dharmendra,4,NULL,297
Q57664,Emma_of_Waldeck_and_Pyrmont,1,NULL,293
Q9554,Martin_Luther,6,NULL,292
Q127330,Frank_Zappa,4,NULL,290
Q128790,Georges_Simenon,2,NULL,287
Q152384,Joan_Miró,1,NULL,285
Q303,Elvis_Presley,1,NULL,278
Q33977,Jules_Verne,1,NULL,276
Q104340,Harold_Lloyd,2,NULL,275
Q7200,Alexander_Pushkin,4,NULL,275
Q53004,Vittorio_De_Sica,2,NULL,275
Q170068,Akseli_Gallen-Kallela,2,3,273
Q37693,Paul_Gauguin,3,NULL,272
Q40531,John_Wayne,3,NULL,271
Q42775,Johnny_Cash,7,NULL,271
Q7317,Giuseppe_Verdi,NULL,2,268
Q2599,Paul_McCartney,5,NULL,267
Q79822,Adam_Mickiewicz,2,NULL,263
Q1511,Richard_Wagner,3,NULL,263
Q35610,Arthur_Conan_Doyle,3,NULL,263
Q263623,Princess_Irene_of_the_Netherlands,4,NULL,262
Q9960,Ronald_Reagan,4,NULL,262
Q7243,Leo_Tolstoy,6,NULL,259
Q40912,Frank_Sinatra,3,NULL,258
Q72267,Cecil_B._DeMille,2,NULL,257
Q1042465,Carlo_Rustichelli,2,NULL,257
Q1203,John_Lennon,2,NULL,256
Q106508,Gérard_Depardieu,2,NULL,254
Q24829,Orson_Welles,2,NULL,254
Q34424,Shakira,1,2,254
Q255577,Bebe_Daniels,1,NULL,252
Q381477,Kamal_Haasan,2,NULL,251
