WikidataID,WikiLabel,countTriples,manualAnnotation,,
Q137578,Queshan_County,13,13,unknown,
Q1022909,Tianchang,17,17,unknown,,,
Q1012537,Shijing_Subdistrict%2C_Guangzhou,24,24,unknown,,,
Q2012423,Silistra_Province,7,7,,,,
Q1001823,Bueng_Kum_District,3,3,,,,
Q613917,Anyi_County,13,13,unknown,,,
Q1785083,Kosova_Hora,7,7,unknown,,,
Q2165552,Liuji_Township%2C_Henan,23,23,,,,
Q1200,Rhineland-Palatinate,42,36,compositional!,,,
Q555048,Gliwice_County,8,8,,,,
Q1198649,Xin%27an_County,12,12,unknown,,,
Q1361953,Panshi,18,18,unknown,,,
Q492437,Bouches_du_Weser,4,4,,,,
Q193721,T%C3%A1bor,14,15,,,,
Q947495,P%C5%82ock_County,15,15,,,,
Q1579076,Limba%C5%BEi_Municipality,8,8,,,,
Q1517587,T%C3%A9miscouata_Regional_County_Municipality,19,19,,,,
Q2600622,Leshukonsky_District,6,7,,,,
Q2636699,Bezenchuksky_District,12,12,unknown,,,
Q29003,Jiamusi,10,9,,,,
Q6540082,Lianmeng_Subdistrict%2C_Baoding,6,6,,,,
Q475309,Buntharik_District,8,8,,,,
Q476221,Non_Din_Daeng_District,3,3,,,,
Q6964301,Nantang%2C_Lufeng%2C_Guangdong,25,25,unknown,,,
Q1356598,Quannan_County,11,11,unknown,,,
Q1727387,Canton_of_Sainte-Rose-1,1,4,,,,
Q949312,Purbeck_District,1,1,unknown,,,
Q490033,McDonald_County%2C_Missouri,1,2,,,,
Q607423,Maizhokunggar_County,8,8,,,,
Q61346,Crittenden_County%2C_Arkansas,1,11,townships include towns?,,,
Q218535,Kralice_nad_Oslavou,1,1,unknown,,,
Q1638295,Canton_of_Saint-Sever-Calvados,18,18,,,,
Q10432,Wunsiedel_%28district%29,26,17,,,,
Q10864871,Wanquan%2C_Hubei,53,53,unknown,,,
Q923712,Yashkinsky_District,11,11,,,,
Q475199,Bang_Khan_District,4,4,,,,
Q1726902,Canton_of_Rennes-Nord-Est,1,1,,,,
Q713750,West_Germany,13,11,complicated time period matters,,,
Q1866020,Litv%C3%ADnovice,2,2,unknown,,,
Q502222,Juneau_County%2C_Wisconsin,1,29,municipalities,,,
Q4415418,Baima%2C_Miyi_County,12,12,compositional!,,,
Q6348717,Kaiyuan_Subdistrict%2C_Xiamen,12,12,unknown,,,
Q1344848,Yuzhou%2C_Henan,26,26,unknown,,,
Q353095,Addison%2C_Vermont,1,0,town smallest?,,,
Q5061,East_Nusa_Tenggara,22,22,compositional!,,,
Q7558958,Solun%2C_Horqin_Right_Front_Banner,16,16,unknown,,,
Q197377,Zhangjiagang,14,9,infobox,,,
Q19951027,F%C3%A8s-Mekn%C3%A8s,9,9,compositional!,,,
Q549007,Bergen%2C_Middle_Franconia,5,5,unknown,,,
Q577434,Longhui_County,26,24,compositional! townships and towns?,,,
Q1762083,Ostrom%C4%9B%C5%99,3,3,unknown,,,
Q1268277,Hepu_County,15,15,compositional!,,,
Q55,Netherlands,15,12,provinces plus 3 islands,,,
Q1655583,Sredneakhtubinsky_District,12,12,administrative or municipal? compositional!,,,
Q8055053,Yongxing%2C_Fujian,20,20,unknown,,,
Q484231,Bennett_County%2C_South_Dakota,1,2,,,,
Q4165,Bad_Homburg_vor_der_H%C3%B6he,5,5,unknown,,,
Q1356703,Tongshan_County,14,12,,,,
Q1042066,Kako_District%2C_Hy%C5%8Dgo,2,2,,,,
Q721580,El_Ranco_Province,4,4,,,,
Q1236237,Doln%C3%AD_T%C5%99ebon%C3%ADn,7,7,unknown,,,
Q494726,S%C3%A3o_Louren%C3%A7o_dos_%C3%93rg%C3%A3os%2C_Cape_Verde,1,1,,,,
Q2258141,Ho%C5%99ovi%C4%8Dky,3,3,unknown,,,
Q54180,Pomeranian_Voivodeship,20,20,,,,
Q495479,Pittsburg_County%2C_Oklahoma,1,21,,,,
Q476111,Mueang_Uthai_Thani_District,14,14,,,,
Q2218428,Vashkinsky_District,3,3,municipal,,,
Q1376956,Gwent_%28county%29,5,5,,,,
Q295787,Dare_County%2C_North_Carolina,1,12,,,,
Q1220154,Diecai_District,3,3,unknown,,,
