Q254,[3;2;1;4;5]
Q5879,[1;2]
Q35064,[1;2;3]
Q1339,[1;6;2;3;4]
Q692,[2;1;3]
Q91,[1;2;3;4]
Q7243,[1;2]
Q937,[1;2;4]
Q22670,[2]
Q1511,[2;3;1]
Q5686,[1;2]
Q1067,[1;3]
Q7833,[]
Q5598,[1]
Q535,[1]
Q8016,[1;2;3]
Q37030,[]
Q41309,[1;2;3;6]
Q154770,[1;13;2]
Q34424,[1;2;3;5;40;8;200;100;4;6]
Q1035,[1;2]
Q7486,[]
Q23,[1;2;3;6]
Q45909,[2;1]
Q7314,[3;2;1;4]
Q76,[1;2;4]
Q192069,[5;7;4;2;1;3]
Q30875,[1;2;3;4]
Q687,[1;2]
Q12665,[1]
Q4700,[1]
Q517,[2;1]
Q7245,[1;2;3]
Q9554,[1;2;10;4;3;7]
Q9215,[1;3]
Q1744,[1;2;100;3;200;5;8]
Q38757,[1]
Q81447,[]
Q7200,[]
Q9916,[1;2;3;5]
Q34969,[1;2;3;4;17]
Q9701,[1;2;649;619]
Q36661,[1]
Q33977,[2;1]
Q9696,[2;1;3;4]
Q13909,[1;2;3]
Q46096,[1;2;4;3;5;6]
Q2567,[1]
Q5682,[1;2;8;4]
Q2492,[1;2]
Q11812,[1;3;2;5]
Q9021,[]
Q9204,[1;2]
Q742,[1;2]
Q1043,[1;2;3]
Q1276,[1;2;3;10]
Q882,[1;2]
Q45682,[1;2;3;4;7]
Q5383,[1;3;2;5;100;4;9;10;40]
Q36591,[]
Q1001,[1;2;3]
Q17790,[3;1;8]
Q2514,[1;2;3]
Q22686,[2;1;3;4]
Q33760,[1]
Q2042,[1;2;3;5]
Q307,[1;2;3;4]
Q5679,[1;2]
Q892,[1;2;3]
Q9061,[1;2;3]
Q9746,[2;1;3;716]
Q151164,[1;2]
Q180962,[1;2]
Q5593,[1;2]
Q991,[1;2]
Q2831,[1;2;5;100;3;10;4;7;13;25]
Q93343,[1;3;2]
Q1203,[1;2;100;10]
Q9235,[3;1;2]
Q4612,[1;2]
Q35610,[2;1]
Q83326,[1;2]
Q7085,[1]
Q42,[1;2;4;3;5;6]
Q9960,[1;2;4]
Q6294,[1;2;3;100;92]
Q34743,[1;2;3]
Q7489,[]
Q25310,[2;1]
Q11758,[]
Q392,[1;2;3;4;7;100]
Q1124,[1;2]
Q8023,[1;2;4]
Q6882,[1;2;3]
Q76428,[1;3;6]
Q33866,[1;2;4;3]
Q42544,[1]
Q83158,[1]
Q2038,[2;1;3;4]
Q25973,[1]
Q93284,[1;12;2]
Q42775,[1;2;3;4]
Q152384,[1]
Q1192,[1;3]
Q213355,[]
Q504,[]
Q9711,[1]
Q19133,[2;1]
Q39931,[1]
Q7351,[1;2;4]
Q7322,[1;2;3;4]
