Q345,1,NULL,1857
Q3403561,1,NULL,1539
Q5598,2,NULL,1010
Q1339,20,20,957
Q72792,1,NULL,783
Q22670,2,NULL,710
Q5593,4,NULL,618
Q150747,1,NULL,598
Q254,2,NULL,575
Q318611,2,NULL,557
Q8704,1,NULL,556
Q2720141,3,NULL,545
Q296,2,NULL,523
Q2735277,1,NULL,512
Q134741,6,NULL,511
Q23848,1,NULL,482
Q57304,6,NULL,477
Q882,8,11,476
Q35064,1,NULL,446
Q692,3,NULL,441
Q1395425,2,NULL,422
Q39931,4,NULL,418
Q5879,1,NULL,413
Q29574,3,NULL,411
Q392,2,NULL,399
Q1744,4,4,398
Q379604,4,NULL,397
Q45909,1,1,380
Q167654,6,NULL,376
Q2831,3,NULL,373
Q9711,1,NULL,373
Q2721855,1,NULL,359
Q47551,3,NULL,359
Q39829,3,NULL,355
Q740657,1,NULL,350
Q5383,2,NULL,344
Q104109,NULL,2,342
Q301,1,NULL,339
Q35548,1,NULL,337
Q2050534,1,NULL,329
Q37217,5,NULL,327
Q164294,2,NULL,325
Q1361838,1,NULL,323
Q5589,1,NULL,317
Q1384661,2,NULL,313
Q76,2,2,303
Q1344801,1,NULL,299
Q379157,4,NULL,297
Q57664,1,NULL,293
Q9554,6,NULL,292
Q127330,4,NULL,290
Q128790,2,NULL,287
Q152384,1,NULL,285
Q303,1,NULL,278
Q33977,1,NULL,276
Q104340,2,NULL,275
Q7200,4,NULL,275
Q53004,2,NULL,275
Q170068,2,3,273
Q37693,3,NULL,272
Q40531,3,NULL,271
Q42775,7,NULL,271
Q7317,NULL,2,268
Q2599,5,NULL,267
Q79822,2,NULL,263
Q1511,3,NULL,263
Q35610,3,NULL,263
Q263623,4,NULL,262
Q9960,4,NULL,262
Q7243,6,NULL,259
Q40912,3,NULL,258
Q72267,2,NULL,257
Q1042465,2,NULL,257
Q1203,2,NULL,256
Q106508,2,NULL,254
Q24829,2,NULL,254
Q34424,1,2,254
Q255577,1,NULL,252
Q381477,2,NULL,251
Q2643,1,NULL,251
Q154946,4,NULL,250
Q25089,4,NULL,250
Q535,4,NULL,246
Q892,2,4,246
Q718512,1,NULL,245
Q347635,2,NULL,244
Q484779,5,NULL,242
Q235077,1,NULL,239
Q7486,69,NULL,239
Q1067,3,NULL,238
Q36970,1,NULL,238
Q1124,1,1,238
Q9570,2,NULL,236
Q41402,1,NULL,235
Q43203,5,NULL,233
Q104081,3,9,232
Q472520,1,NULL,231
Q180338,NULL,1,231
Q1749423,2,NULL,229
Q5608,NULL,1,229
Q7546,8,NULL,228
Q216748,1,NULL,227
Q367032,3,NULL,226
Q53052,1,NULL,226
Q55375,2,NULL,226
Q5105,1,3,225
Q192214,1,NULL,224
Q296796,2,NULL,223
Q5686,11,NULL,222
Q120993,1,NULL,221
Q599249,1,NULL,220
